method,target,year,donors_used,n_models,rmse,runtime_sec
G_XGBoost,1,2017,"2,52,3,4,53,5,54",7,3.4468344733176464,2.030838966369629
G_XGBoost,1,2018,"2,52,3,4,53,5,54",7,3.5445006405277644,2.036630630493164
G_XGBoost,2,2017,"1,3,4,52,5,6,53",7,3.917562071634705,1.0194664001464844
G_XGBoost,2,2018,"1,3,4,52,5,6,53",7,5.013455353078044,1.0169413089752197
G_XGBoost,3,2017,"4,2,5,1,6,8,7",7,3.03727301590196,0.8439028263092041
G_XGBoost,3,2018,"4,2,5,1,6,8,7",7,3.3429809165842723,0.841912031173706
G_XGBoost,4,2017,"3,5,6,2,8,7,1",7,3.0972717873721445,0.8213496208190918
G_XGBoost,4,2018,"3,5,6,2,8,7,1",7,3.421263893123392,0.8230268955230713
G_XGBoost,5,2017,"4,6,8,3,7,2,9",7,3.1837838153164157,0.8142585754394531
G_XGBoost,5,2018,"4,6,8,3,7,2,9",7,3.218623599107581,0.8141582012176514
G_XGBoost,6,2017,"8,7,5,4,3,9,10",7,2.7865388316816535,0.7839796543121338
G_XGBoost,6,2018,"8,7,5,4,3,9,10",7,3.3523687674223708,0.7836370468139648
G_XGBoost,7,2017,"8,6,5,9,10,4,3",7,3.057017228549446,0.8570139408111572
G_XGBoost,7,2018,"8,6,5,9,10,4,3",7,3.252929840492044,0.8566422462463379
G_XGBoost,8,2017,"6,7,5,4,9,10,3",7,2.1771345180089154,0.8293411731719971
G_XGBoost,8,2018,"6,7,5,4,9,10,3",7,2.7045631735181996,0.8273134231567383
G_XGBoost,9,2017,"10,11,7,8,12,6,13",7,2.5602532127644144,0.8095755577087402
G_XGBoost,9,2018,"10,11,7,8,12,6,13",7,3.1865806065631825,0.809664249420166
G_XGBoost,10,2017,"9,11,7,12,8,6,13",7,4.151412777932998,0.8513278961181641
G_XGBoost,10,2018,"9,11,7,12,8,6,13",7,3.0354367205453747,0.8489894866943359
G_XGBoost,11,2017,"12,10,9,13,23,7,8",7,3.193235342252687,0.8191220760345459
G_XGBoost,11,2018,"12,10,9,13,23,7,8",7,2.794638958526625,0.818427562713623
G_XGBoost,12,2017,"13,11,23,10,9,24,26",7,2.6968168352633763,0.794151782989502
G_XGBoost,12,2018,"13,11,23,10,9,24,26",7,3.522095725210408,0.7936825752258301
G_XGBoost,13,2017,"12,23,11,24,26,10,9",7,2.4429073603473452,0.8083114624023438
G_XGBoost,13,2018,"12,23,11,24,26,10,9",7,2.603254764827162,0.8111026287078857
G_XGBoost,14,2017,"25,24,26,27,23,28,15",7,3.0816414162974906,0.7645201683044434
G_XGBoost,14,2018,"25,24,26,27,23,28,15",7,3.322757367418735,0.7649948596954346
