method,target,year,donors_used,n_models,rmse,runtime_sec
G_XGBoost,38,2017,"37,36,33,32,31,35,30",7,4.1159470566722245,2.7204644680023193
G_XGBoost,38,2018,"37,36,33,32,31,35,30",7,4.89708309941663,2.7190635204315186
G_XGBoost,39,2017,"37,33,36,32,31,35,21",7,2.449256850791729,2.5831868648529053
G_XGBoost,39,2018,"37,33,36,32,31,35,21",7,4.448103015246993,2.579427719116211
G_XGBoost,40,2017,"37,33,36,32,21,31,22",7,3.408868869054033,4.758901834487915
G_XGBoost,40,2018,"37,33,36,32,21,31,22",7,4.958630541126379,4.759166955947876
G_XGBoost,41,2017,"37,33,32,36,21,22,20",7,4.762616722846149,4.8211071491241455
G_XGBoost,41,2018,"37,33,32,36,21,22,20",7,4.747544672871818,4.821855545043945
G_XGBoost,42,2017,"33,37,21,22,32,20,19",7,2.8038175355772728,1.471050500869751
G_XGBoost,42,2018,"33,37,21,22,32,20,19",7,3.706906949844146,1.469794511795044
G_XGBoost,43,2017,"33,21,37,22,32,20,19",7,3.3915395803567945,1.3200030326843262
G_XGBoost,43,2018,"33,21,37,22,32,20,19",7,5.194394134254471,1.321439266204834
G_XGBoost,44,2017,"33,21,22,20,32,37,19",7,5.740365081608089,1.5413882732391357
G_XGBoost,44,2018,"33,21,22,20,32,37,19",7,6.43769815741818,1.537116527557373
